Bahasa,Penilaian,Saran,Kategori,Tahun
id,4.0,"Sejauh ini belum ada, karena staff RO sangat membantu.",Registrar Office,2024
id,4.0,Sejauh ini untuk layanannya sudah cukup baik.,Registrar Office,2024
id,2.0,Baik,Registrar Office,2024
id,4.0,Sangat membantu,Registrar Office,2024
id,3.0,"Sudah cukup baik, respon admin juga lumayan",Registrar Office,2024
id,4.0,Good,Registrar Office,2024
id,4.0,"Menurut saya sih sudah cukup baik ya, saya sangat puas bahkan dengan service yang diberikan",Registrar Office,2024
id,4.0,sangat bagusss pertahankan,Registrar Office,2024
id,3.0,sudah cukup bagus,Registrar Office,2024
id,3.0,"Waktu saya masukin data kadang susah di cancell terus karena data informasinya tidak jelas, jadi saya perlu berkali-kali input datanya.",Registrar Office,2024
id,4.0,Layanannya sangat cepat,Registrar Office,2024
id,4.0,all goods,Registrar Office,2024
id,3.0,Sejauh ini masih fast respon dan sesuai dengan yang inginkan.,Registrar Office,2024
id,4.0,"Menurut pengalaman saya, saya sudah sangat puas terhadap layanan RO, yang dimana dapat memberikan layanan terbaik serta solusi dengan cepat saat saya sedang mengalami kendala pada saat itu.",Registrar Office,2024
id,2.0,"-Product Knowledge perlu ditingkatkan 
-Clarity dalam memberikan informasi lebih jelas",Registrar Office,2024
id,4.0,Layanan Register sangat responsif dalam menjawab pertanyaan dari kita,Registrar Office,2024
id,3.0,"saya pernah dibantu oleh RO untuk pemdaftaran ulang dan dilakukan sangat baik, thanks",Registrar Office,2024
id,2.0,Tidak ada,Registrar Office,2024
id,4.0,all good,Registrar Office,2024
id,4.0,Informatif dan cepat dalam membantu saya ketika kesulitan dlm apps,Registrar Office,2024
id,4.0,Sip,Registrar Office,2024
id,4.0,Sangat puas dan sangat fast respon.,Registrar Office,2024
id,4.0,Menurut saya sudah all good,Registrar Office,2024
id,1.0,Pelayanan smart card kurang ramah,Registrar Office,2024
id,4.0,all good,Registrar Office,2024
id,3.0,Diharapkan respon lebih cepat,Registrar Office,2024
id,4.0,sudah cukup baik,Registrar Office,2024
id,4.0,Tetap pertahankan pelayanannya dan semakin baik lagi.,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Memastikan bahwa sistem yang digunakan memiliki standar keamanan data yang tinggi untuk melindungi informasi pribadi mahasiswa dan data penting lainnya dari akses yang tidak sah.,Registrar Office,2024
id,4.0,"Tingkatkan, makasih sangat membantu",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,"layanan registrar office sangat baik, semoga dapat dipertahankan",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,sangat membantu dalam layanan registrar,Registrar Office,2024
id,3.0,Semoga dapat lebih cepat dalam merespon,Registrar Office,2024
id,3.0,Sejauh ini sudah sangat bagus,Registrar Office,2024
id,4.0,Ok,Registrar Office,2024
id,3.0,Tingkatkan untuk mempermudah kelancaran mahasiswa dalam hal admisnistrasi dokumen,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,3.0,"kadang suka error, tp so far sll bisa digunakan",Registrar Office,2024
id,3.0,-,Registrar Office,2024
en,4.0,None.,Registrar Office,2024
id,3.0,Tanggap dalam membalas email,Registrar Office,2024
id,4.0,Memberikan saran dan lebih mengerti apa yang dimau dari calon pelajar.,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Layanan sudha bagus dan respons sudah cepat,Registrar Office,2024
id,4.0,"Tidak ada karna sudah di luar ekspektasi RO nya ramah, sabar, baik hati, mau menunjukan arah",Registrar Office,2024
id,4.0,-,Registrar Office,2024
en,3.0,It has a fast and good services.,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,2.0,"Bisa lebih di upgrade untuk fiturnya, karena saat pendaftaran saya tidak bisa mengisi bagian identitas keluarga, terimakasih",Registrar Office,2024
id,4.0,Cukup baik penanganan juga sangat cepat.,Registrar Office,2024
id,4.0,Tingkatkan lahi,Registrar Office,2024
id,3.0,sudah baik,Registrar Office,2024
id,3.0,tingkatkan layanan dan konsisten ber evaluasi,Registrar Office,2024
id,3.0,Sangat baik dan inovatif,Registrar Office,2024
id,3.0,bagus,Registrar Office,2024
id,1.0,Sangat lama,Registrar Office,2024
id,3.0,UPH - Semanggi Fasilitas gedungnya tidak memadahi & tidak layak.,Registrar Office,2024
en,3.0,Continue with the hard work,Registrar Office,2024
id,4.0,sudah baik,Registrar Office,2024
id,2.0,"Pemberitahuan dari awal penawaran sempat miss mengenai 80% online, onsite 20%

Karena ternyata 50:50.  

Semoga tidak miss lagi untuk info selanjutnya. Terimakasih",Registrar Office,2024
id,4.0,"Sudah baik, tetap dipertahankan",Registrar Office,2024
id,3.0,"Great , dipertahankan untuk layanannya",Registrar Office,2024
id,3.0,Lebih cepat dalam merespon,Registrar Office,2024
id,3.0,Bagus,Registrar Office,2024
id,3.0,Semakin Ditingkatkan pelayanannya,Registrar Office,2024
id,4.0,"Sudah bagus , terus ditingkatkan pelayanan dan perkembangan teknologinya",Registrar Office,2024
id,4.0,Mantap,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Sudah cukup baik,Registrar Office,2024
id,4.0,👍 sangay bagus,Registrar Office,2024
id,4.0,"When I first entered UPH, I was surprised to see that I needed to upload more documents into the UPH mobile app, however, the process went smoothly thanks to registrar office.",Registrar Office,2024
id,4.0,Semangatt,Registrar Office,2024
id,2.0,mungkin responnya dapat ditingkatkan sehingga lebih cepat.. terima kasih :),Registrar Office,2024
id,3.0,Aplikasi sudah baik,Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,"Semakin semangat melayani Bapak, Ibu...",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Sudah cukup haik.,Registrar Office,2024
id,2.0,Baik,Registrar Office,2024
id,4.0,_,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,3.0,"Pelayanan yang  baik, semangat terus",Registrar Office,2024
id,4.0,"sudah sangat baik, cepat, dan responsif",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,3.0,Tidak ada.,Registrar Office,2024
id,3.0,_,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,lebih responsif lagi,Registrar Office,2024
id,3.0,lebih ramah lagi,Registrar Office,2024
id,4.0,Sangat puas,Registrar Office,2024
id,3.0,Tidak ada,Registrar Office,2024
id,3.0,Sudah baik,Registrar Office,2024
id,4.0,"Tidak ada, sudah baik",Registrar Office,2024
id,4.0,Sudah cukup bagus & harus dipertahankan,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,"Sangat membantu, cepat menanggapi",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,Saya merasa pelayanan yang dilakukan sudah sangat baik sehingga harus di pertahankan.,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,2.0,sudah baik,Registrar Office,2024
id,3.0,Sudah bagus,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,4.0,Pelayanannya sangat membantu mahasiswa,Registrar Office,2024
id,4.0,Bagus,Registrar Office,2024
id,4.0,bgus,Registrar Office,2024
id,4.0,"Menurut saya, saya cukup puas dengan pengalaman saya menggunakan layanan Registrar. Kendala yang dialami dapat terselesaikan dengan baik dengan waktu yang cepat.",Registrar Office,2024
id,3.0,Semakin tingkatkan lagi,Registrar Office,2024
id,4.0,Sangat baik,Registrar Office,2024
id,4.0,Good,Registrar Office,2024
id,3.0,Terimakasih dan untuk respon mohon lebih di tingkatkan,Registrar Office,2024
id,3.0,Lebih ditingkatkan lagi,Registrar Office,2024
id,3.0,"Sudah baik, dipertahankan",Registrar Office,2024
id,3.0,Mempermudah proses pendaftaran,Registrar Office,2024
id,2.0,Cukupbaik,Registrar Office,2024
id,3.0,Ok,Registrar Office,2024
id,4.0,sudah cukup baik,Registrar Office,2024
id,2.0,Lebih fastrespon,Registrar Office,2024
id,3.0,Semoga semakin baik ke depan,Registrar Office,2024
id,2.0,tolong berikan pelayanan yang fastrespon,Registrar Office,2024
id,3.0,"Layanan sudah baik, terus dipertahankan dan ditingkatkan.",Registrar Office,2024
id,4.0,Terus ditingkatkan lagi kedepannya,Registrar Office,2024
id,4.0,Sudah cukup baik hanya perlu di pertahankan,Registrar Office,2024
id,3.0,Sudah sangat bangus,Registrar Office,2024
id,2.0,Lebih di tingkatkan lagi pelayanannya,Registrar Office,2024
id,3.0,Sertifikat dari luar UPH lama sekali proses untuk penambahan SEP di mobile UPH,Registrar Office,2024
id,2.0,"sebaiknya jika memang ada dokumen yang kurang atau salah, mohon segera infokan ya pak agar segera dilengkapi, jangan sampai berbulan bulan selanjut nya, apalagi sampai masuk semester baru. karena kami khawatir lupa pak cara pengiriman nya, dan tidak semua dukumen kami bawa kemana pun saat kami pergi. pengalaman saya saaat sedang pergi ke luar kota jawa tengah saat baru sampai, tiba2 mendapat pesan untuk segera lengkapi dokumen, alhasil saya kalang kabut. krn posisi tidak ada dokumen yg terbawa dan tersimpan. hal seperti itu sangat membuat tidak nyaman bapak/ibu. terimakasih",Registrar Office,2024
id,4.0,Good,Registrar Office,2024
id,4.0,Sudah baik,Registrar Office,2024
id,4.0,Trimaksih untuk bantuan,Registrar Office,2024
id,4.0,"Saya berharap bisa menyambung atau membuka perpustakaan online UPH, utk mempermudah mahasiswa mencari sumber acuan..",Registrar Office,2024
id,4.0,Sudah bagus. Terima kasih.,Registrar Office,2024
id,2.0,Harus bisa lebih cekatan dalam menjalankan tugas dan tanggung jawab,Registrar Office,2024
id,4.0,Lanjutkan,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,registar oficce sangat membantu dalam mengakses beberapa situs dan membantu para mahasiswa untuk melakukan beberapa kegiatan,Registrar Office,2024
id,4.0,kalau bisa registernya jangan terlampau rumit dan membingungkan,Registrar Office,2024
id,4.0,Semakin ditingkatkan pelayanannya,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Mungkin untuk email bisa lebih diperjelas dan detail agar tidak muncul pertanyaan yg berkaitan dengan topik.,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Mohon agar dipermudah aksesnya untuk komunikasi lewat telepon.,Registrar Office,2024
id,4.0,Sejauh ini tidak  ada,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Sangat membantu dalam pemberiaan informasi,Registrar Office,2024
id,4.0,Sudah sangat bagus responnya. Saya butuh dokumen untuk dilegalisir respons nya tanggap dan cepat.,Registrar Office,2024
id,4.0,lebih fast resp,Registrar Office,2024
id,4.0,Untuk saat ini sudah sangat baik,Registrar Office,2024
id,3.0,Lebih friendly user saja,Registrar Office,2024
id,4.0,Terima kasih,Registrar Office,2024
id,3.0,Sudah sangat baik,Registrar Office,2024
id,3.0,Sudah bagus,Registrar Office,2024
id,4.0,Bagussss,Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,3.0,"Sudah baik, karena fast resp dan resp nya jelas (diarahkan dengan baik).",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Menjadi lebih baik lagi kedepannya,Registrar Office,2024
id,2.0,Tidak ada,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,puas,Registrar Office,2024
id,4.0,Sejauh ini sudah baik,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,2.0,Semoga kedepannya lebih fipermudah pengaksesannya ar orang yang baru terjun lebih mud memahami setiap fitur didalamnya. Dan juga saran saya lebih diperbaiki lagi jaringan internetnya sehingga web yang diakses tidak lag/crash,Registrar Office,2024
id,4.0,Semakin lebih baik lagi kedepannha,Registrar Office,2024
id,4.0,Baik,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,3.0,.,Registrar Office,2024
id,3.0,Tingkatkan,Registrar Office,2024
id,4.0,Sudah baik,Registrar Office,2024
id,4.0,Tidak ada sudah sangat baik,Registrar Office,2024
id,3.0,Sudah baik,Registrar Office,2024
id,1.0,"Kurang puas pak
Air nya sering mati
Kadang bikin radang",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,"Menurut saya tidak ada,semuanya baik dilakukan dengan tanggung jawab yang besar kepada mahasiswa yang ingin mendaftar.",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Pertahankan,Registrar Office,2024
id,4.0,"layanan RO sudah baik,pertahankan!",Registrar Office,2024
id,3.0,Sejauh ini belum ada,Registrar Office,2024
id,3.0,Trimakasih sudah membantu,Registrar Office,2024
id,3.0,Baik,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,"Menjelaskan dengan nada rendah, sehingga membuat mahasiswa tidak terintimidasi untuk bertanya",Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,3.0,all good,Registrar Office,2024
id,4.0,"lebih di update untuk website nya, karena sering susah untuk dibuka dan lambat saat digunakan",Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,3.0,"Layanan yang diberikan sudah bagus, memuaskan",Registrar Office,2024
id,4.0,Ketika di email cepat balasnya,Registrar Office,2024
id,3.0,Top dehh,Registrar Office,2024
id,4.0,Keep it up!,Registrar Office,2024
id,3.0,Pelayanannya bagus,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,.,Registrar Office,2024
id,3.0,Bagus,Registrar Office,2024
id,3.0,Jadi lebih baik,Registrar Office,2024
id,3.0,Sudah cukup baik,Registrar Office,2024
id,4.0,Kordinasi antar departemen terkait dgn keperluan mahasiswa,Registrar Office,2024
id,3.0,nice!,Registrar Office,2024
id,3.0,Bagus,Registrar Office,2024
id,4.0,Bagus,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,Tidak ada.,Registrar Office,2024
id,2.0,Tidak ada,Registrar Office,2024
